GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,12687.0,12 687,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,242.0,242,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,1223.0,1223,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,242.0,242,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,,,,6724.0,6724,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,1.16,1.16,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,10447.0,10 447,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,15093.0,15 093,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,2226.0,2226,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,1104.0,1104,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,14.0,14,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,1284.0,1284,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,6420.0,6420,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,1.35,1.35,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,886.0,886,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,143.0,143,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,0.21,0.21,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,14816.0,14 816,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,1.17,1.17,,
HWF_0003,Generalist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/generalist-medical-practitioners-%28number%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,834.0,834,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,322.0,322,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,10367.0,10 367,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,446.0,446,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,13501.0,13 501,,
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/community-health-workers-%28number%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,,,,45000.0,45 000,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,8872.0,8872,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,133.0,133,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,228.0,228,,
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/community-health-workers-%28number%29,1995,1995,1995,AFR,Africa,RWA,Rwanda,,,,12000.0,12 000,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,201.0,201,,
